title,author,year,isbn,rating,my_rating,pages,cover_url,goodreads_url,shelf
Hydrogen,H,,1,1,1,1,,https://en.wikipedia.org/wiki/Hydrogen,Nonmetal
,,,,2,1,,,,spacer
,,,,3,1,,,,spacer
,,,,4,1,,,,spacer
,,,,5,1,,,,spacer
,,,,6,1,,,,spacer
,,,,7,1,,,,spacer
,,,,8,1,,,,spacer
,,,,9,1,,,,spacer
,,,,10,1,,,,spacer
,,,,11,1,,,,spacer
,,,,12,1,,,,spacer
,,,,13,1,,,,spacer
,,,,14,1,,,,spacer
,,,,15,1,,,,spacer
,,,,16,1,,,,spacer
,,,,17,1,,,,spacer
Helium,He,,2,18,1,4,,https://en.wikipedia.org/wiki/Helium,Noble Gas
Lithium,Li,,3,1,2,7,,https://en.wikipedia.org/wiki/Lithium,Alkali Metal
Beryllium,Be,,4,2,2,9,,https://en.wikipedia.org/wiki/Beryllium,Alkaline Earth Metal
,,,,3,2,,,,spacer
,,,,4,2,,,,spacer
,,,,5,2,,,,spacer
,,,,6,2,,,,spacer
,,,,7,2,,,,spacer
,,,,8,2,,,,spacer
,,,,9,2,,,,spacer
,,,,10,2,,,,spacer
,,,,11,2,,,,spacer
,,,,12,2,,,,spacer
Boron,B,,5,13,2,11,,https://en.wikipedia.org/wiki/Boron,Metalloid
Carbon,C,,6,14,2,12,,https://en.wikipedia.org/wiki/Carbon,Nonmetal
Nitrogen,N,,7,15,2,14,,https://en.wikipedia.org/wiki/Nitrogen,Nonmetal
Oxygen,O,,8,16,2,16,,https://en.wikipedia.org/wiki/Oxygen,Nonmetal
Fluorine,F,,9,17,2,19,,https://en.wikipedia.org/wiki/Fluorine,Nonmetal
Neon,Ne,,10,18,2,20,,https://en.wikipedia.org/wiki/Neon,Noble Gas
Sodium,Na,,11,1,3,23,,https://en.wikipedia.org/wiki/Sodium,Alkali Metal
Magnesium,Mg,,12,2,3,24,,https://en.wikipedia.org/wiki/Magnesium,Alkaline Earth Metal
,,,,3,3,,,,spacer
